"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   433 Eros (A898 PA)",1.458,0.2228,10.83,304.29,178.91,1.133,1.78,1.76,46582,0,9130,4,2,10.41
"   719 Albert (A911 TB)",2.636,0.5470,11.58,183.85,156.23,1.194,4.08,4.28,40483,0,2044,,,15.59
"   887 Alinda (A918 AA)",2.472,0.5709,9.40,110.42,350.47,1.061,3.88,3.89,38506,0,3064,,,13.88
"  1036 Ganymed (A924 UB)",2.666,0.5329,26.69,215.50,132.48,1.245,4.09,4.35,36088,0,9806,0,1,9.26
"  1221 Amor (1932 EA1)",1.919,0.4357,11.88,171.32,26.65,1.083,2.76,2.66,33431,0,619,,,17.37
"  1580 Betulia (1950 KA)",2.198,0.4870,52.15,62.23,159.59,1.127,3.27,3.26,25901,0,1400,5,6,14.69
"  1627 Ivar (1929 SH)",1.864,0.3964,8.45,133.12,167.81,1.125,2.60,2.54,34339,0,12875,2,1,12.85
"  1915 Quetzalcoatl (1953 EA)",2.544,0.5703,20.40,162.94,347.79,1.093,3.99,4.06,18842,0,51,0,1,18.05
"  1916 Boreas (1953 RA)",2.272,0.4496,12.88,340.60,335.89,1.251,3.29,3.43,25367,0,1930,,,14.95
"  1917 Cuyo (1968 AA)",2.15,0.5057,23.96,188.28,194.55,1.063,3.24,3.15,25252,0,3269,0,2,14.40
"  1943 Anteros (1973 EC)",1.431,0.2560,8.71,246.30,338.41,1.064,1.80,1.71,18466,0,5080,,,15.71
"  1980 Tezcatlipoca (1950 LA)",1.71,0.3647,26.87,246.55,115.49,1.086,2.33,2.24,26629,0,6741,,,13.87
"  2059 Baboquivari (1963 UA)",2.642,0.5319,11.02,200.69,192.46,1.237,4.05,4.29,21402,0,1482,,,15.98
"  2061 Anza (1960 UA)",2.265,0.5359,3.80,207.36,157.08,1.051,3.48,3.41,22802,0,1883,,,16.70
"  2202 Pele (1972 RA)",2.291,0.5127,8.74,169.92,217.95,1.116,3.47,3.47,18101,0,324,,,17.14
"  2368 Beltrovata (1977 RA)",2.105,0.4134,5.22,287.30,43.13,1.235,2.98,3.06,16827,0,1678,,,15.19
"  2608 Seneca (1978 DA)",2.528,0.5681,14.54,167.09,38.02,1.092,3.96,4.02,16284,1,83,,,17.48
"  3102 Krok (1981 QA)",2.151,0.4496,8.44,172.05,154.79,1.184,3.12,3.15,15121,0,2346,,,16.17
"  3122 Florence (1981 ET3)",1.769,0.4231,22.14,336.06,27.88,1.020,2.52,2.35,16161,0,8181,6,0,14.10
"  3199 Nefertiti (1982 RA)",1.575,0.2842,32.96,339.99,53.43,1.127,2.02,1.98,14858,0,3442,0,1,15.03
"  3271 Ul (1982 RB)",2.101,0.3959,25.07,158.82,159.10,1.269,2.93,3.05,14744,0,239,,,16.58
"  3288 Seleucus (1982 DV)",2.033,0.4562,5.93,218.62,349.30,1.106,2.96,2.9,15183,0,2240,,,15.35
"  3352 McAuliffe (1981 CW)",1.879,0.3692,4.77,107.33,16.10,1.185,2.57,2.57,15533,0,2341,,,15.97
"  3551 Verenia (1983 RD)",2.092,0.4873,9.51,173.78,193.28,1.073,3.11,3.03,14175,0,570,,,16.71
"  3552 Don Quixote (1983 SA)",4.265,0.7078,31.09,349.94,316.58,1.246,7.28,8.81,14389,0,1376,,,13.07
"  3553 Mera (1985 JA)",1.644,0.3201,36.78,232.49,288.92,1.118,2.17,2.11,14009,0,1387,,,16.43
"  3691 Bede (1982 FT)",1.775,0.2841,20.35,348.72,235.00,1.271,2.28,2.36,17642,0,7317,,,14.96
"  3757 Anagolay (1982 XB)",1.835,0.4457,3.87,74.93,17.22,1.017,2.65,2.49,14759,0,198,0,2,19.04
"  3908 Nyx (1980 PA)",1.928,0.4594,2.19,261.20,126.63,1.042,2.81,2.68,15264,0,1962,15,1,17.46
"  3988 Huma (1986 LA)",1.544,0.3167,10.77,229.79,86.94,1.055,2.03,1.92,13056,0,570,,,17.95
