"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.95,31.44,0.187,1.97,1.12,27042,0,1543,10,13,16.59
"  1620 Geographos (1951 RA)",1.246,0.3355,13.34,337.17,276.95,0.828,1.66,1.39,26152,0,7990,3,4,15.27
"  1685 Toro (1948 OA)",1.368,0.4361,9.38,274.22,127.24,0.771,1.96,1.6,27469,0,4494,7,2,14.33
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.05,0.647,2.29,1.78,33890,0,2944,8,9,16.10
"  1863 Antinous (1948 EA)",2.26,0.6059,18.39,346.42,268.10,0.891,3.63,3.4,27599,0,1139,,,15.44
"  1864 Daedalus (1971 FA)",1.461,0.6144,22.22,6.61,325.67,0.563,2.36,1.77,19016,0,4545,1,0,14.88
"  1865 Cerberus (1971 UA)",1.08,0.4669,16.10,212.89,325.30,0.576,1.58,1.12,18245,0,2142,,,16.79
"  1866 Sisyphus (1972 XA)",1.894,0.5382,41.21,63.46,293.11,0.875,2.91,2.61,25019,0,8017,0,1,12.55
"  1981 Midas (1973 EA)",1.777,0.6501,39.82,356.85,267.82,0.622,2.93,2.37,17760,0,1083,12,1,15.28
"  2063 Bacchus (1977 HB)",1.078,0.3494,9.43,33.06,55.35,0.701,1.45,1.12,16881,0,995,7,5,17.23
"  2101 Adonis (1936 CA)",1.874,0.7643,1.32,349.47,43.64,0.442,3.31,2.56,30790,0,123,0,5,18.72
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.35,61.52,0.904,1.68,1.47,17372,0,1647,1,0,15.97
"  2135 Aristaeus (1977 HA)",1.6,0.5028,23.07,191.12,290.97,0.795,2.40,2.02,15749,1,61,,,18.05
"  2201 Oljato (1947 XC)",2.178,0.7114,2.52,74.87,98.42,0.628,3.73,3.21,33535,0,1206,0,5,15.35
"  2212 Hephaistos (1978 SB)",2.161,0.8374,11.54,27.50,209.43,0.351,3.97,3.18,16436,0,3566,,,13.52
"  2329 Orthos (1976 WA)",2.41,0.6536,24.47,169.28,146.08,0.835,3.98,3.74,17095,0,1827,,,14.57
"  3103 Eger (1982 BB)",1.404,0.3543,20.93,129.74,254.09,0.907,1.90,1.66,14756,0,7807,1,3,15.33
"  3200 Phaethon (1983 TB)",1.271,0.8900,22.29,265.15,322.24,0.140,2.40,1.43,14362,0,6354,8,0,14.40
"  3360 Syrinx (1981 VA)",2.467,0.7455,21.14,242.47,63.56,0.628,4.31,3.87,15056,0,576,,,16.04
"  3361 Orpheus (1982 HR)",1.21,0.3229,2.66,188.68,302.36,0.820,1.60,1.33,14537,0,2729,2,0,19.56
"  3671 Dionysus (1984 KD)",2.2,0.5410,13.53,82.06,204.30,1.009,3.39,3.26,14368,0,1050,,,16.54
"  3752 Camillo (1985 PA)",1.414,0.3015,55.56,147.96,312.22,0.987,1.84,1.68,17398,0,2662,4,4,15.20
"  3838 Epona (1986 WA)",1.505,0.7023,29.20,235.47,49.73,0.448,2.56,1.85,13454,0,896,,,15.71
"  4015 Wilson-Harrington (1979 VA)",2.625,0.6316,2.80,266.76,95.47,0.967,4.28,4.25,26813,0,1515,,,16.18
"  4034 Vishnu (1986 PA)",1.06,0.4440,11.17,157.90,296.70,0.589,1.53,1.09,13162,0,686,0,1,18.52
"  4179 Toutatis (1989 AC)",2.544,0.6247,0.45,125.34,277.87,0.955,4.13,4.06,32632,0,6663,35,28,15.31
"  4183 Cuno (1959 LM)",1.981,0.6360,6.67,294.35,237.04,0.721,3.24,2.79,23475,0,3358,1,0,14.18
"  4197 Morpheus (1982 TA)",2.294,0.7724,12.60,7.01,122.56,0.522,4.07,3.48,25207,0,1014,4,2,15.03
"  4257 Ubasti (1987 QA)",1.647,0.4683,40.72,169.16,278.92,0.876,2.42,2.11,13189,0,1095,,,16.07
"  4341 Poseidon (1987 KF)",1.834,0.6800,11.84,108.04,15.83,0.587,3.08,2.48,13251,0,808,,,16.08
"  4450 Pan (1987 SY)",1.442,0.5868,5.52,311.77,291.84,0.596,2.29,1.73,31367,0,1513,1,0,17.28
"  4486 Mithra (1987 SB)",2.201,0.6625,3.04,82.22,168.90,0.743,3.66,3.27,13390,0,1647,8,9,15.62
"  4544 Xanthus (1989 FB)",1.042,0.2502,14.14,23.96,333.86,0.781,1.30,1.06,12490,0,1806,0,1,17.40
"  4581 Asclepius (1989 FC)",1.023,0.3569,4.92,180.21,255.36,0.658,1.39,1.03,11706,0,424,2,2,20.74
"  4660 Nereus (1982 DB)",1.485,0.3587,1.45,313.12,159.51,0.953,2.02,1.81,14853,0,4957,20,17,18.75
"  4769 Castalia (1989 PB)",1.063,0.4832,8.88,325.53,121.43,0.549,1.58,1.1,12445,0,482,8,7,17.50
"  4953 (1990 MU)",1.621,0.6574,24.38,77.53,77.94,0.555,2.69,2.06,17930,0,2379,0,2,14.95
"  5011 Ptah (6743 P-L)",1.636,0.5000,7.41,10.64,105.93,0.818,2.45,2.09,23011,0,637,,,16.71
"  5131 (1990 BG)",1.486,0.5690,36.43,110.36,135.85,0.641,2.33,1.81,16363,0,2089,,,14.86
"  5143 Heracles (1991 VL)",1.835,0.7713,8.98,309.19,228.14,0.420,3.25,2.49,25503,0,3962,1,0,14.10
"  5189 (1990 UQ)",1.552,0.4780,3.58,135.07,159.96,0.810,2.29,1.93,11992,0,1598,4,1,17.84
"  5496 (1973 NA)",2.435,0.6352,68.00,101.05,118.00,0.888,3.98,3.8,17771,0,238,,,16.15
"  5645 (1990 SP)",1.355,0.3873,13.51,45.71,48.26,0.830,1.88,1.58,17936,0,1285,0,1,17.25
"  5660 (1974 MA)",1.785,0.7620,38.13,302.13,127.02,0.425,3.15,2.39,16737,0,304,1,1,15.52
"  5693 (1993 EA)",1.271,0.5852,5.06,96.98,258.98,0.527,2.01,1.43,14423,0,2627,,,16.79
"  5731 Zeus (1988 VP4)",2.266,0.6519,11.20,280.59,218.45,0.789,3.74,3.41,12720,0,1356,,,15.47
"  5786 Talos (1991 RC)",1.081,0.8268,23.23,161.29,8.38,0.187,1.98,1.12,11717,0,1179,,,17.22
"  5828 (1991 AM)",1.698,0.6949,30.12,125.42,152.77,0.518,2.88,2.21,14697,0,936,,,16.03
"  6037 (1988 EG)",1.272,0.4997,3.51,182.22,242.29,0.636,1.91,1.43,12950,0,1001,4,4,18.97
