"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"    1P/Halley",0.9679,0.575,162.19,59.11,112.26,35.28,1986-02-08.6,75.9,HTC,57852,0,8548,,4.8e-10,1.6e-10,,,17.93,,,
"    2P/Encke",0.8483,0.336,11.78,334.56,186.56,4.09,2017-03-10.0,3.3,ETc,5157,0,3143,,,,,,2.215,,,
"    3D/Biela",0.7513,0.879,13.22,250.67,221.66,6.19,1832-11-26.6,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,,3.535,,,
"    4P/Faye",0.5845,1.578,8.16,194.80,205.99,6.02,2021-09-05.6,7.4,JFc,3593,0,3562,,4.0e-09,3.2e-10,-7.1e-10,-37.7,3.798,,,
"    5D/Brorsen",0.8098,0.590,29.38,102.97,14.95,5.61,1879-03-31.0,5.46,JFc,,,127,,1.3e-08,1.3e-09,,,3.101,,,
"    6P/d'Arrest",0.6127,1.355,19.51,138.94,178.11,5.64,2021-09-17.7,6.54,JFc,2913,1,1093,,1.8e-10,-8.5e-10,,,3.497,,,
"    7P/Pons-Winnecke",0.6376,1.239,22.33,93.42,172.51,5.60,2015-01-30.5,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150,3.419,,,
"    8P/Tuttle",0.8198,1.027,54.98,270.34,207.51,10.37,2008-01-27.0,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5,5.7,,,
"    9P/Tempel 1",0.5098,1.542,10.47,68.76,179.19,4.75,2016-08-02.5,5.58,JFc,5444,0,3218,,2.6e-11,1.2e-11,,,3.146,,,
"   10P/Tempel 2",0.5363,1.421,12.03,117.80,195.55,4.71,2010-07-04.4,5.37,JFc,7341,0,4406,,2.2e-10,5.3e-12,6.7e-11,,3.065,,,
"   11P/Tempel-Swift-LINEAR",0.5774,1.390,14.44,238.99,167.77,5.19,2020-11-26.0,5.96,JFc,7002,0,1182,,,,,,3.289,,,
"   12P/Pons-Brooks",0.9545,0.781,74.19,255.85,198.99,33.57,2024-04-21.1,71.2,HTC,25667,0,3218,,,,,,17.18,,,
"   13P/Olbers",0.9298,1.171,44.63,85.84,64.58,32.16,2024-06-30.6,68,HTC,24707,0,46,,,,,,16.67,,,
"   14P/Wolf",0.3575,2.729,27.94,202.11,159.20,5.76,2009-02-27.6,8.75,JFc,10439,0,361,,,,,,4.247,,,
"   15P/Finlay",0.7202,0.977,6.80,13.75,347.63,6.00,2014-12-27.0,6.52,JFc,5058,0,1655,,2.2e-09,-2.3e-10,1.6e-09,,3.49,,,
"   16P/Brooks 2",0.5690,1.455,4.31,159.34,220.17,5.29,2014-06-14.7,6.2,JFc,2826,1,256,,9.2e-09,-3.7e-09,,,3.375,,,
"   17P/Holmes",0.4302,2.066,19.07,326.77,24.74,5.19,2014-03-26.7,6.91,JFc,4401,0,2211,,2.9e-09,9.8e-10,,,3.626,,,
"   18D/Perrine-Mrkos",0.6426,1.272,17.76,240.88,166.05,5.85,1968-11-01.5,6.72,JFc,2584,1,16,,,,,,3.56,,,
"   19P/Borrelly",0.6379,1.306,29.32,74.30,351.86,5.91,2022-02-01.7,6.85,JFc,3219,0,2442,,3.1e-09,-5.5e-10,,,3.607,,,
"   20D/Westphal",0.9198,1.254,40.89,348.01,57.08,30.03,1913-11-26.7,61.9,HTC,22321,0,201,,,,,,15.64,,,
"   21P/Giacobini-Zinner",0.7105,1.013,32.00,195.41,172.81,5.99,2018-09-10.2,6.55,JFc,3196,0,1987,,3.1e-09,-1.8e-09,-1.8e-09,,3.5,,,
"   22P/Kopff",0.5486,1.555,4.74,120.84,162.91,5.33,2022-03-17.8,6.39,JFc,3540,0,2655,,,,,,3.444,,,
"   23P/Brorsen-Metcalf",0.9720,0.479,19.33,311.59,129.61,33.66,1989-09-11.9,70.5,HTC,51904,0,223,,2.2e-09,-5.3e-10,,,17.07,,,
"   24P/Schaumasse",0.7048,1.206,11.73,79.67,58.00,6.97,2017-11-16.7,8.26,JFc,6464,3,832,,1.1e-09,-1.0e-09,,,4.086,,,
"   25D/Neujmin 2",0.5668,1.338,10.64,328.72,193.70,4.84,1927-01-16.2,5.43,JFc,3994,1,55,,,,,,3.089,,,
"   26P/Grigg-Skjellerup",0.6339,1.112,22.41,211.64,1.64,4.96,2008-03-23.7,5.3,JFc,5475,0,430,,,,,,3.038,,,
"   27P/Crommelin",0.9193,0.734,29.22,250.96,195.96,17.45,2011-08-02.5,27.4,HTC,20203,0,455,,5.1e-10,-2.7e-12,,,9.093,,,
