"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  2062 Aten (1976 AA)",0.967,0.1829,18.93,108.53,148.05,0.790,1.14,0.951,23339,0,1024,5,2,17.11
"  2100 Ra-Shalom (1978 RA)",0.832,0.4365,15.76,170.78,356.08,0.469,1.20,0.759,17463,0,3809,9,2,16.23
"  2340 Hathor (1976 UA)",0.8438,0.4499,5.86,211.30,40.09,0.464,1.22,0.775,16477,0,572,4,3,20.43
"  3362 Khufu (1984 QA)",0.9895,0.4686,9.92,152.42,55.07,0.526,1.45,0.984,7394,1,262,,,18.52
"  3554 Amun (1986 EB)",0.974,0.2806,23.36,358.61,359.42,0.701,1.25,0.961,11979,0,1704,,,15.91
"  3753 Cruithne (1986 TO)",0.9978,0.5149,19.80,126.20,43.88,0.484,1.51,0.997,18241,0,1248,,,15.49
"  5381 Sekhmet (1991 JY)",0.9475,0.2964,48.97,58.53,37.42,0.667,1.23,0.922,9444,0,428,1,0,16.75
"  5590 (1990 VA)",0.9856,0.2796,14.19,216.28,34.48,0.710,1.26,0.979,2218,2,67,,,19.91
"  5604 (1992 FE)",0.9286,0.4061,4.71,311.90,82.67,0.551,1.31,0.895,16041,0,984,6,0,17.38
" 33342 (1998 WT24)",0.7188,0.4176,7.37,81.66,167.52,0.419,1.02,0.609,9072,0,1864,16,1,18.02
" 65679 (1989 UQ)",0.9149,0.2646,1.30,178.09,15.03,0.673,1.16,0.875,23014,0,743,,,19.62
" 66063 (1998 RO1)",0.991,0.7200,22.69,351.85,151.16,0.278,1.70,0.987,9064,0,1321,4,0,18.15
" 66146 (1998 TU3)",0.7876,0.4838,5.41,101.99,84.89,0.407,1.17,0.699,14576,0,1825,,,14.43
" 66391 Moshup (1999 KW4)",0.6424,0.6884,38.88,244.90,192.65,0.200,1.08,0.515,9200,0,3771,37,0,16.64
" 66400 (1999 LT7)",0.8554,0.5725,9.06,79.80,341.40,0.366,1.35,0.791,12854,0,604,,,19.29
" 68347 (2001 KB67)",0.9621,0.3801,17.12,245.86,243.78,0.596,1.33,0.944,7444,0,614,6,2,19.92
" 85770 (1998 UP1)",0.9978,0.3451,33.18,18.33,234.24,0.653,1.34,0.997,11368,0,460,,,20.71
" 85953 (1999 FK21)",0.7388,0.7031,12.61,180.45,172.42,0.219,1.26,0.635,19058,0,1639,,,18.15
" 85989 (1999 JD6)",0.8831,0.6328,17.06,130.16,309.24,0.324,1.44,0.83,12069,0,3268,11,4,17.12
" 86450 (2000 CK33)",0.9681,0.4148,18.11,124.85,215.61,0.566,1.37,0.953,8504,0,3736,,,18.46
" 86667 (2000 FO10)",0.8594,0.5947,14.29,208.31,172.49,0.348,1.37,0.797,12796,0,1845,,,17.54
" 87309 (2000 QP)",0.8475,0.4631,34.74,294.27,188.17,0.455,1.24,0.78,17196,0,924,,,17.61
" 87684 (2000 SY2)",0.8586,0.6429,19.22,162.02,47.79,0.307,1.41,0.796,16794,0,1559,,,16.05
