"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   944 Hidalgo (A920 UB)",5.728,0.6618,42.58,21.44,56.50,1.937,9.52,13.7,37485,0,2061,,,10.55
"  2060 Chiron (1977 UB)",13.71,0.3764,6.92,209.31,339.36,8.552,18.87,50.8,12278,0,3946,,,5.64
"  5145 Pholus (1992 AD)",20.29,0.5728,24.69,119.36,354.61,8.668,31.91,91.4,14881,1,392,,,7.07
"  5335 Damocles (1991 DA)",11.87,0.8660,61.73,314.10,191.09,1.591,22.16,40.9,551,4,49,,,13.23
"  7066 Nessus (1993 HA2)",24.6,0.5153,15.62,31.39,170.67,11.925,37.28,122,4048,3,103,,,9.57
"  8405 Asbolus (1995 GO)",18.07,0.6191,17.61,5.83,290.80,6.883,29.25,76.8,8571,1,503,,,9.21
" 10199 Chariklo (1997 CU26)",15.79,0.1678,23.39,300.45,241.99,13.136,18.43,62.7,12678,0,1277,,,6.55
" 10370 Hylonome (1995 DW2)",25.02,0.2438,4.14,178.31,5.95,18.918,31.12,125,5576,3,78,,,8.20
" 15504 (1999 RG33)",9.365,0.7733,34.98,23.37,273.92,2.123,16.61,28.7,9806,1,147,,,12.27
" 20461 Dioretsa (1999 LD31)",23.8,0.9016,160.42,297.46,102.53,2.343,45.26,116,927,2,278,,,13.92
" 31824 Elatus (1999 UG5)",11.75,0.3856,5.25,87.04,281.93,7.221,16.28,40.3,8630,0,472,,,10.28
" 32532 Thereus (2001 PT13)",10.61,0.1988,20.39,205.15,87.22,8.502,12.72,34.6,14695,0,678,,,9.21
" 37117 Narcissus (2000 VU2)",6.875,0.5546,13.82,248.41,180.12,3.062,10.69,18,13874,0,647,,,13.39
" 49036 Pelion (1998 QM107)",20.07,0.1333,9.35,126.82,155.05,17.396,22.75,89.9,6979,2,101,,,10.38
" 52872 Okyrhoe (1998 SG35)",8.375,0.3047,15.65,173.08,337.23,5.823,10.93,24.2,9044,0,748,,,10.93
" 52975 Cyllarus (1998 TF35)",26.21,0.3804,12.63,51.80,301.50,16.241,36.19,134,7773,2,84,,,8.90
" 54598 Bienor (2000 QC243)",16.55,0.2027,20.74,337.73,152.21,13.197,19.91,67.3,25626,0,957,,,7.45
" 55576 Amycus (2002 GB10)",25.01,0.3910,13.34,315.54,239.14,15.230,34.79,125,12686,1,136,,,7.44
" 60558 Echeclus (2000 EC98)",10.75,0.4565,4.34,173.19,163.48,5.843,15.66,35.2,15845,0,4467,,,9.20
" 63252 (2001 BL41)",9.894,0.2970,12.43,280.67,129.30,6.955,12.83,31.1,9735,0,144,,,11.46
" 83982 Crantor (2002 GO9)",19.45,0.2735,12.77,117.43,93.33,14.130,24.77,85.8,7850,1,317,,,8.91
" 88269 (2001 KF77)",26.05,0.2397,4.36,14.71,267.02,19.807,32.30,133,1806,4,19,,,9.49
" 95626 (2002 GZ32)",23.07,0.2191,15.03,107.30,155.89,18.014,28.12,111,10306,2,498,,,7.18
"119315 (2001 SQ73)",17.46,0.1755,17.44,16.09,304.69,14.399,20.53,73,6648,2,59,,,9.52
