"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   588 Achilles (A906 DN)",5.21,0.1484,10.32,316.54,133.77,4.437,5.98,11.9,42783,0,3515,,,8.28
"   617 Patroclus (A906 UL)",5.208,0.1399,22.06,44.36,308.41,4.480,5.94,11.9,2723,0,2141,,,8.29
"   624 Hektor (A907 CF)",5.272,0.0233,18.15,342.79,179.64,5.149,5.39,12.1,42439,0,6095,,,7.44
"   659 Nestor (A908 FE)",5.169,0.1164,4.52,350.75,344.10,4.567,5.77,11.8,42028,0,4680,,,8.77
"   884 Priamus (A917 SU)",5.203,0.1254,8.90,301.52,336.95,4.551,5.86,11.9,38631,0,4148,,,8.71
"   911 Agamemnon (A919 FB)",5.283,0.0676,21.76,338.01,81.74,4.926,5.64,12.1,38020,0,3652,,,7.99
"  1143 Odysseus (1930 BH)",5.235,0.0916,3.14,221.23,238.07,4.755,5.71,12,9210,0,5322,,,8.37
"  1172 Aneas (1930 UA)",5.231,0.1068,16.65,247.27,51.56,4.673,5.79,12,33905,0,4375,,,8.28
"  1173 Anchises (1930 UB)",5.277,0.1389,6.93,283.91,41.46,4.545,6.01,12.1,33903,0,5094,,,8.90
"  1208 Troilus (1931 YA)",5.252,0.0928,33.54,48.55,295.89,4.765,5.74,12,33465,0,5246,,,8.92
"  1404 Ajax (1936 QW)",5.285,0.1135,18.03,332.88,61.79,4.685,5.88,12.1,31647,0,3021,,,9.35
"  1437 Diomedes (1937 PB)",5.219,0.0461,20.47,315.79,129.32,4.978,5.46,11.9,31331,0,4147,,,8.24
"  1583 Antilochus (1950 SA)",5.145,0.0540,28.49,221.37,187.89,4.868,5.42,11.7,35243,0,4593,,,8.58
"  1647 Menelaus (1957 MK)",5.208,0.0227,5.65,240.30,294.10,5.090,5.33,11.9,26073,0,3244,,,10.53
"  1749 Telamon (1949 SB)",5.14,0.1092,6.10,340.84,113.99,4.579,5.70,11.7,26853,0,3818,,,9.50
"  1867 Deiphobus (1971 EA)",5.135,0.0460,26.90,283.70,1.07,4.899,5.37,11.6,19158,0,3618,,,8.44
"  1868 Thersites (2008 P-L)",5.312,0.1097,16.75,197.78,171.30,4.730,5.90,12.2,25221,0,3849,,,9.53
"  1869 Philoctetes (4596 P-L)",5.181,0.0663,3.97,43.84,326.38,4.837,5.52,11.8,22830,0,2619,,,11.17
"  1870 Glaukos (1971 FE)",5.242,0.0337,6.58,176.30,132.08,5.065,5.42,12,24736,0,2869,,,10.64
"  1871 Astyanax (1971 FF)",5.226,0.0344,8.61,145.77,167.06,5.046,5.41,11.9,19135,0,2416,,,11.28
