"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   132 Aethra (A873 LA)",2.613,0.3871,24.97,258.07,255.53,1.601,3.62,4.22,54848,0,3783,,,8.94
"   391 Ingeborg (A894 VB)",2.321,0.3055,23.21,212.84,147.05,1.612,3.03,3.54,46974,0,6702,,,10.91
"   475 Ocllo (A901 PA)",2.593,0.3795,18.95,34.40,305.92,1.609,3.58,4.18,39486,0,5995,,,11.61
"   512 Taurinensis (A903 MC)",2.189,0.2541,8.75,107.01,249.38,1.633,2.75,3.24,41763,0,12775,,,10.81
"   699 Hela (A910 LC)",2.613,0.4097,15.29,242.50,91.46,1.543,3.68,4.23,44052,0,5508,,,11.49
"   985 Rosina (A922 TC)",2.3,0.2773,4.06,290.26,59.73,1.662,2.94,3.49,36830,0,4126,,,12.87
"  1009 Sirene (A923 UE)",2.629,0.4529,15.72,229.28,186.57,1.439,3.82,4.26,36391,0,7375,,,13.91
"  1011 Laodamia (A924 AC)",2.395,0.3487,5.49,132.47,353.16,1.560,3.23,3.71,36382,0,3102,,,12.72
"  1065 Amundsenia (1926 PD)",2.361,0.2967,8.36,330.31,353.66,1.661,3.06,3.63,35409,0,4201,,,12.12
"  1131 Porzia (1929 RO)",2.228,0.2862,3.23,100.66,248.06,1.590,2.87,3.33,34144,0,4166,,,13.00
"  1134 Kepler (1929 SA)",2.677,0.4697,15.32,5.77,332.91,1.419,3.93,4.38,34142,0,2379,,,14.24
"  1139 Atami (1929 XE)",1.948,0.2555,13.09,213.30,206.73,1.450,2.45,2.72,34225,0,3575,,,12.60
"  1170 Siva (1930 SQ)",2.325,0.3012,22.17,0.85,59.35,1.625,3.03,3.55,33686,0,6089,,,12.22
"  1198 Atlantis (1931 RA)",2.25,0.3356,2.73,259.48,84.61,1.495,3.01,3.38,33401,0,2483,,,14.44
"  1204 Renzia (1931 TE)",2.264,0.2936,1.88,7.53,313.83,1.599,2.93,3.41,33553,0,5664,,,11.99
"  1235 Schorria (1931 UJ)",1.91,0.1547,25.00,12.92,43.85,1.615,2.21,2.64,33539,0,6966,,,13.19
"  1293 Sonja (1933 SO)",2.228,0.2753,5.36,236.34,99.89,1.614,2.84,3.33,32831,0,4370,,,13.61
"  1310 Villigera (1932 DB)",2.391,0.3575,21.06,357.18,88.81,1.536,3.25,3.7,33406,0,3055,,,11.51
"  1316 Kasan (1933 WC)",2.413,0.3163,23.96,238.19,148.72,1.649,3.18,3.75,32777,0,4687,,,13.15
"  1374 Isora (1935 UA)",2.251,0.2782,5.30,302.44,61.14,1.625,2.88,3.38,32075,0,3059,,,13.32
"  1468 Zomba (1938 PA)",2.196,0.2714,9.94,308.88,23.26,1.600,2.79,3.25,31069,0,3670,,,12.75
"  1474 Beira (1935 QY)",2.737,0.4887,26.67,323.37,84.06,1.400,4.08,4.53,32049,0,2237,,,12.40
"  1508 Kemi (1938 UP)",2.769,0.4187,28.73,13.85,93.51,1.610,3.93,4.61,32281,0,6916,,,12.08
"  1565 Lemaitre (1948 WA)",2.392,0.3485,21.50,261.12,116.39,1.558,3.23,3.7,27193,0,5122,,,12.66
"  1593 Fagnes (1951 LB)",2.225,0.2811,9.98,120.01,185.30,1.600,2.85,3.32,26296,0,4646,,,13.17
"  1640 Nemo (1951 QA)",2.289,0.3426,7.11,355.43,354.90,1.505,3.07,3.46,42641,0,5754,,,13.31
"  1656 Suomi (1942 EC)",1.878,0.1234,25.07,175.53,287.39,1.646,2.11,2.57,29745,0,6626,,,12.91
"  1727 Mette (1965 BA)",1.854,0.1016,22.89,132.99,313.12,1.666,2.04,2.52,24962,0,4395,,,12.61
"  1747 Wright (1947 NH)",1.709,0.1102,21.41,268.36,340.35,1.521,1.90,2.23,27791,0,3008,,,13.58
"  1750 Eckert (1950 NA1)",1.926,0.1727,19.09,273.72,108.97,1.593,2.26,2.67,26460,0,6816,,,13.79
"  1951 Lick (1949 OA)",1.391,0.0615,39.09,130.73,140.56,1.305,1.48,1.64,27043,0,5059,,,14.13
"  2035 Stearns (1973 SC)",1.884,0.1317,27.75,77.01,200.76,1.636,2.13,2.59,18028,0,3270,,,12.46
"  2044 Wirt (1950 VE)",2.379,0.3454,23.98,53.62,50.33,1.558,3.20,3.67,26563,0,2391,,,13.19
"  2055 Dvorak (1974 DB)",2.31,0.3119,21.49,340.41,244.04,1.589,3.03,3.51,18028,0,5912,,,12.92
"  2064 Thomsen (1942 RQ)",2.178,0.3300,5.70,302.09,2.81,1.459,2.90,3.22,29297,0,5536,,,12.71
"  2074 Shoemaker (1974 UA)",1.8,0.0819,30.08,207.26,205.39,1.652,1.95,2.41,25138,0,6566,,,14.04
"  2077 Kiangsu (1974 YA)",2.327,0.2956,28.10,69.45,344.26,1.639,3.01,3.55,17726,0,6263,,,13.68
"  2078 Nanking (1975 AD)",2.369,0.3748,20.16,286.95,99.48,1.481,3.26,3.65,17665,0,2359,,,13.05
"  2099 Opik (1977 VB)",2.303,0.3609,26.97,218.80,159.36,1.472,3.13,3.5,24033,0,1588,,,15.12
"  2204 Lyyli (1943 EQ)",2.59,0.4052,20.62,159.94,284.15,1.541,3.64,4.17,29383,0,3767,,,12.20
"  2253 Espinette (1932 PB)",2.283,0.2784,3.88,143.91,175.77,1.647,2.92,3.45,33116,0,3982,,,12.95
"  2335 James (1974 UB)",2.123,0.3605,36.31,19.90,79.54,1.357,2.89,3.09,17795,0,1910,,,13.65
"  2423 Ibarruri (1972 NC)",2.189,0.2826,4.06,264.91,80.66,1.570,2.81,3.24,24350,0,6896,,,13.44
"  2449 Kenos (1978 GC)",1.909,0.1681,24.99,179.83,102.25,1.588,2.23,2.64,16565,0,3478,,,13.98
"  2577 Litva (1975 EE3)",1.904,0.1380,22.91,182.55,284.12,1.641,2.17,2.63,32427,0,3690,,,13.03
"  2629 Rudra (1980 RB1)",1.74,0.2291,23.44,343.44,280.65,1.342,2.14,2.3,25348,0,2071,,,15.15
"  2744 Birgitta (1975 RB)",2.302,0.3323,6.74,315.52,44.09,1.537,3.07,3.49,32778,0,2129,,,14.83
"  2937 Gibbs (1980 LA)",2.32,0.3031,21.77,265.65,71.93,1.617,3.02,3.53,15466,0,3529,,,13.37
"  2968 Iliya (1978 QJ)",2.365,0.3117,9.16,274.26,34.34,1.628,3.10,3.64,26730,0,2035,,,15.00
"  3040 Kozai (1979 BA)",1.841,0.2004,46.65,143.48,290.14,1.472,2.21,2.5,16260,0,4250,,,13.88
"  3163 Randi (1981 QM)",2.393,0.3349,3.09,194.01,121.58,1.591,3.19,3.7,28685,0,3041,,,14.15
"  3198 Wallonia (1981 YH1)",2.181,0.2378,17.96,83.50,40.48,1.662,2.70,3.22,15231,0,2791,,,13.18
"  3255 Tholen (1980 RA)",2.373,0.3628,21.36,337.02,79.48,1.512,3.23,3.66,19251,0,2330,,,13.55
"  3267 Glo (1981 AA)",2.329,0.2959,24.03,110.43,307.67,1.640,3.02,3.55,15335,0,3107,,,12.88
"  3270 Dudley (1982 DA)",2.149,0.3289,27.68,146.90,327.10,1.442,2.86,3.15,15153,0,3538,,,14.35
"  3287 Olmstead (1981 DK1)",2.365,0.3008,12.08,213.23,95.69,1.653,3.08,3.64,15362,0,4044,,,14.32
"  3343 Nedzel (1982 HS)",2.349,0.3124,25.02,43.42,229.73,1.615,3.08,3.6,14907,0,3451,,,13.31
"  3392 Setouchi (1979 YB)",2.14,0.2798,26.32,266.68,240.03,1.541,2.74,3.13,15723,0,5126,,,13.86
