"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  6144 Kondojiro (1994 EQ3)",4.774,0.3596,5.88,117.10,96.18,3.058,6.49,10.4,24945,0,1657,,,11.85
" 32511 (2001 NX17)",5.018,0.4279,8.95,285.68,345.68,2.871,7.16,11.2,11999,0,727,,,12.82
"241944 (2002 CU147)",5.221,0.3164,32.75,314.27,57.26,3.569,6.87,11.9,8930,0,707,,,12.62
"275618 (2000 AU242)",4.8,0.4878,9.47,207.96,335.87,2.459,7.14,10.5,8571,0,739,,,14.05
"301964 (2000 EJ37)",4.622,0.7054,10.07,178.38,115.73,1.362,7.88,9.94,8351,0,1607,,,13.71
"363135 (2001 QQ199)",5.319,0.4288,42.59,213.03,193.52,3.038,7.60,12.3,12308,0,463,,,12.85
"487496 (2014 SE288)",5.388,0.3712,8.47,155.91,215.18,3.388,7.39,12.5,5580,0,99,,,14.79
"490171 (2008 UD253)",4.767,0.4834,13.64,35.53,355.92,2.463,7.07,10.4,16293,0,391,,,14.37
"497619 (2006 QL39)",5.111,0.6024,13.35,172.27,253.92,2.032,8.19,11.6,5405,0,1488,,,13.85
"504160 (2006 SV301)",5.081,0.4958,5.31,105.11,30.69,2.562,7.60,11.5,8853,0,400,,,14.65
"514107 Ka`epaoka`awela (2015 BZ509)",5.134,0.3769,163.13,307.80,257.42,3.199,7.07,11.6,1026,2,71,,,16.16
"526889 (2007 GH6)",5.32,0.4637,25.35,78.83,98.68,2.853,7.79,12.3,4925,0,308,,,14.46
"584530 (2017 GY10)",4.775,0.3919,21.72,154.57,148.24,2.903,6.65,10.4,8455,0,79,,,15.19
"613709 (2007 CM57)",5.279,0.3121,12.01,2.03,158.91,3.631,6.93,12.1,4888,0,152,,,14.28
"614590 (2009 XY21)",5.308,0.4142,3.72,308.70,156.05,3.109,7.51,12.2,4874,0,88,,,15.72
"       (2001 XW150)",4.739,0.5307,4.16,248.66,204.55,2.224,7.25,10.3,8,9,12,,,16.80
"       (2002 CF329)",4.911,0.4959,20.49,335.52,167.43,2.476,7.35,10.9,4057,2,19,,,16.60
"       (2003 WG166)",5.115,0.6377,55.83,67.23,7.76,1.853,8.38,11.6,4384,1,85,,,17.40
"       (2004 AE9)",5.088,0.6437,1.66,187.05,287.05,1.813,8.36,11.5,89,5,81,,,17.50
"       (2005 SO271)",5.472,0.6860,26.13,18.21,346.26,1.718,9.23,12.8,2,9,12,,,19.57
"       (2006 SA255)",4.917,0.5876,7.06,20.31,291.59,2.028,7.81,10.9,4,9,10,,,18.31
"       (2007 EV40)",5.302,0.6052,3.89,314.64,278.18,2.093,8.51,12.2,4833,1,51,,,17.10
"       (2007 HE4)",5.164,0.6918,4.02,21.98,107.92,1.591,8.74,11.7,31,9,58,,,14.83
"       (2007 TA281)",5.292,0.5993,25.90,7.99,346.39,2.120,8.46,12.2,7,9,12,,,18.12
"       (2007 VW266)",5.442,0.3889,108.32,276.41,225.87,3.325,7.56,12.7,4838,0,101,,,15.20
"       (2008 VJ24)",5.382,0.6699,31.17,69.49,84.51,1.777,8.99,12.5,6,9,10,,,16.14
"       (2009 BM124)",5.056,0.4952,13.24,140.92,334.12,2.552,7.56,11.4,57,5,19,,,16.85
"       (2009 SC315)",4.908,0.6262,1.94,171.88,258.10,1.835,7.98,10.9,1,9,15,,,18.20
"       (2009 SV412)",4.914,0.4138,10.71,357.57,36.79,2.880,6.95,10.9,4524,0,53,,,16.41
"       (2009 UH9)",4.617,0.7142,14.40,34.12,262.11,1.320,7.91,9.92,1,9,12,,,18.56
"       (2009 UK120)",4.995,0.6367,1.67,64.90,23.57,1.815,8.18,11.2,4,9,12,,,18.92
"       (2010 AQ134)",5.119,0.4372,37.73,112.80,296.81,2.881,7.36,11.6,4724,0,68,,,15.81
"       (2010 BX81)",5.385,0.5317,15.41,331.89,80.76,2.522,8.25,12.5,3,9,13,,,
"       (2010 BR88)",4.757,0.4237,24.37,62.12,85.34,2.742,6.77,10.4,3765,0,57,,,16.40
"       (2010 CQ140)",4.679,0.3289,39.60,198.17,285.67,3.140,6.22,10.1,6,9,23,,,16.34
"       (2010 CY193)",4.849,0.6018,29.18,309.23,197.58,1.931,7.77,10.7,1,9,13,,,
"       (2010 CB242)",5.109,0.5368,23.78,263.20,278.25,2.367,7.85,11.5,5,9,13,,,
"       (2010 DJ61)",5.382,0.7477,23.63,207.35,328.91,1.358,9.41,12.5,5,9,18,,,
"       (2010 EW5)",5.454,0.5202,17.81,130.56,91.12,2.617,8.29,12.7,5,9,12,,,
"       (2010 ER22)",4.891,0.5253,24.27,165.12,261.39,2.322,7.46,10.8,4521,0,76,,,15.64
"       (2010 EV159)",4.898,0.4572,23.96,269.94,239.29,2.659,7.14,10.8,8,9,11,,,
"       (2010 FR117)",5.43,0.4951,13.97,162.06,326.76,2.742,8.12,12.7,4746,2,37,,,17.09
"       (2010 GP49)",5.439,0.3183,17.24,164.64,320.87,3.708,7.17,12.7,4722,0,106,,,14.91
"       (2010 JJ52)",4.744,0.4236,5.99,56.68,113.95,2.735,6.75,10.3,4027,2,36,,,16.60
"       (2010 JL135)",5.07,0.3174,11.59,258.85,56.02,3.461,6.68,11.4,1,9,10,,,
"       (2010 KF52)",4.851,0.5253,23.60,325.47,294.22,2.303,7.40,10.7,4153,1,30,,,16.30
"       (2010 KB128)",4.801,0.4630,122.98,170.63,308.49,2.578,7.02,10.5,7692,0,52,,,16.71
"       (2010 LV121)",4.918,0.4494,19.83,185.25,187.64,2.708,7.13,10.9,4182,0,164,,,15.20
"       (2010 MB67)",5.227,0.3033,5.00,307.19,109.34,3.642,6.81,12,2,9,12,,,
"       (2010 PB6)",4.845,0.4002,29.07,81.92,288.26,2.906,6.78,10.7,4,9,23,,,
"       (2010 VT278)",5.101,0.5122,10.84,100.40,347.43,2.488,7.71,11.5,4482,0,79,,,16.73
"       (2011 AF94)",4.687,0.4381,13.21,298.58,289.14,2.634,6.74,10.1,4603,0,103,,,15.61
"       (2011 WM183)",4.747,0.4081,14.84,94.42,339.18,2.810,6.68,10.3,4151,1,83,,,16.10
"       (2012 BL173)",5.356,0.4007,14.22,139.44,64.35,3.210,7.50,12.4,514,4,26,,,15.70
"       (2012 DO45)",4.888,0.7145,6.32,329.36,278.24,1.395,8.38,10.8,3,9,10,,,18.64
"       (2012 XO144)",4.725,0.5264,15.17,315.44,149.13,2.238,7.21,10.3,7231,0,90,,,15.69
"       (2013 AP182)",4.775,0.3762,24.41,254.31,88.43,2.979,6.57,10.4,2841,4,14,,,13.80
"       (2013 GE26)",5.386,0.3921,11.49,194.15,348.63,3.274,7.50,12.5,48,5,27,,,15.63
"       (2013 GU76)",5.006,0.5840,13.68,205.30,311.50,2.083,7.93,11.2,2,9,12,,,17.48
"       (2013 HN144)",5.135,0.5258,6.84,5.21,260.81,2.435,7.84,11.6,3,9,13,,,18.61
"       (2013 KY14)",5.418,0.3905,17.49,49.70,211.40,3.302,7.53,12.6,5234,1,30,,,15.20
"       (2013 NF15)",5.149,0.7301,1.92,34.08,243.30,1.390,8.91,11.7,1,9,8,,,21.90
"       (2013 PN53)",4.836,0.5730,19.52,313.61,302.51,2.065,7.61,10.6,2,9,10,,,18.13
"       (2013 RB35)",4.824,0.6686,4.72,24.70,357.94,1.599,8.05,10.6,3,9,18,,,19.38
"       (2013 SS82)",4.789,0.6158,11.37,169.11,133.48,1.840,7.74,10.5,2,9,12,,,17.95
"       (2013 VB17)",5.447,0.7104,13.02,92.44,353.51,1.577,9.32,12.7,76,4,105,,,18.33
"       (2014 DB64)",5.253,0.3929,4.31,108.70,50.04,3.189,7.32,12,468,4,31,,,16.00
"       (2014 HF89)",4.778,0.6559,6.10,131.85,354.14,1.644,7.91,10.4,1,9,10,,,19.33
"       (2014 JL128)",5.449,0.5185,22.70,186.14,105.54,2.624,8.27,12.7,4902,0,23,,,16.00
