"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"    65 Cybele (A861 EB)",3.426,0.1222,3.56,155.37,103.36,3.007,3.84,6.34,59325,0,4605,,,6.89
"    76 Freia (A862 UA)",3.412,0.1670,2.12,204.29,251.99,2.842,3.98,6.3,58203,0,5856,,,8.09
"    87 Sylvia (A866 KA)",3.477,0.0939,10.88,73.01,264.40,3.151,3.80,6.48,50497,0,5573,,,6.97
"   107 Camilla (A868 WA)",3.486,0.0653,10.00,172.59,305.22,3.258,3.71,6.51,56500,0,4920,,,7.13
"   108 Hecuba (A869 GB)",3.233,0.0625,4.21,349.76,212.59,3.031,3.44,5.81,52421,0,4433,,,8.01
"   121 Hermione (A872 JA)",3.453,0.1257,7.57,72.88,296.93,3.019,3.89,6.42,55120,0,6857,,,7.49
"   122 Gerda (A872 OA)",3.233,0.0276,1.64,178.09,318.65,3.144,3.32,5.81,55167,0,4141,,,7.74
"   153 Hilda (A875 VC)",3.973,0.1391,7.83,228.09,39.43,3.420,4.53,7.92,52319,0,10383,,,7.79
"   154 Bertha (A875 VD)",3.204,0.0756,21.04,36.53,165.45,2.961,3.45,5.73,52201,0,4153,,,7.72
"   168 Sibylla (A876 SA)",3.375,0.0748,4.67,205.92,176.10,3.122,3.63,6.2,53630,0,11677,,,8.32
"   190 Ismene (A878 SA)",3.994,0.1682,6.18,175.44,271.17,3.322,4.67,7.98,47024,0,10807,,,7.94
"   225 Henrietta (A882 HA)",3.395,0.2622,20.85,197.03,103.84,2.505,4.28,6.25,46749,0,4744,,,8.85
"   229 Adelinda (A882 QB)",3.421,0.1369,2.08,27.83,309.08,2.953,3.89,6.33,50491,0,6970,,,9.40
"   260 Huberta (A886 TA)",3.45,0.1077,6.42,164.95,180.19,3.078,3.82,6.41,42543,0,8444,,,9.35
"   279 Thule (A888 UA)",4.264,0.0439,2.33,71.88,27.69,4.077,4.45,8.81,48334,0,6192,,,8.65
"   300 Geraldina (A890 TB)",3.21,0.0594,0.73,42.88,320.64,3.019,3.40,5.75,44997,0,4438,,,9.82
"   319 Leona (A891 TA)",3.412,0.2152,10.56,184.86,227.05,2.678,4.15,6.3,48133,0,4174,,,10.23
"   325 Heidelberga (A892 EA)",3.216,0.1513,8.57,344.21,70.82,2.729,3.70,5.77,47948,0,10172,,,8.98
"   334 Chicago (A892 QB)",3.899,0.0254,4.64,130.13,156.64,3.800,4.00,7.7,47837,0,4314,,,7.72
"   361 Bononia (A893 EF)",3.973,0.2106,12.61,18.79,67.78,3.136,4.81,7.92,47637,0,3550,,,8.44
"   381 Myrrha (A894 AC)",3.223,0.0897,12.56,125.06,144.45,2.934,3.51,5.79,47332,0,5016,,,8.45
"   401 Ottilia (A895 FA)",3.347,0.0312,5.96,36.04,301.65,3.243,3.45,6.12,46891,0,10730,,,9.50
"   414 Liriope (A896 BB)",3.505,0.0740,9.56,110.54,318.44,3.245,3.76,6.56,42286,0,5912,,,9.70
"   420 Bertholda (A896 RC)",3.427,0.0264,6.70,242.42,229.21,3.337,3.52,6.34,45036,0,4549,,,8.38
"   466 Tisiphone (A901 BB)",3.355,0.0966,19.00,290.25,254.96,3.031,3.68,6.15,44756,0,3907,,,8.49
"   483 Seppina (A902 EJ)",3.427,0.0508,18.75,173.91,163.47,3.252,3.60,6.34,44355,0,7730,,,8.48
"   499 Venusia (A902 YE)",4.014,0.2174,2.09,256.19,174.99,3.141,4.89,8.04,44054,0,7133,,,9.67
"   522 Helga (A904 AF)",3.628,0.0866,4.42,116.55,249.11,3.314,3.94,6.91,11754,0,4939,,,9.08
"   528 Rezia (A904 FA)",3.398,0.0220,12.71,49.51,352.24,3.323,3.47,6.26,43610,0,9698,,,9.29
"   536 Merapi (A904 JF)",3.494,0.0876,19.43,59.20,296.13,3.188,3.80,6.53,43559,0,4936,,,8.17
