"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
" 15760 Albion (1992 QB1)",44.32,0.0763,2.18,359.31,6.27,40.939,47.71,295,11075,3,96,,,7.18
" 15788 (1993 SB)",39.66,0.3256,1.94,354.73,78.92,26.747,52.58,250,10335,2,126,,,7.96
" 15789 (1993 SC)",39.85,0.1868,5.15,354.53,319.41,32.404,47.29,252,9614,2,146,,,7.09
" 15807 (1994 GV9)",43.49,0.0610,0.57,176.95,299.37,40.841,46.15,287,9540,3,61,,,7.32
" 15809 (1994 JS)",42.28,0.2183,14.06,56.44,238.15,33.049,51.51,275,2259,4,38,,,7.64
" 15810 Arawn (1994 JR1)",39.4,0.1159,3.80,144.80,103.56,34.837,43.97,247,9920,2,95,,,7.70
" 15820 (1994 TB)",39.84,0.3232,12.14,317.34,98.94,26.967,52.72,252,9587,2,165,,,7.59
" 15836 (1995 DA2)",36.21,0.0744,6.56,127.51,330.48,33.517,38.91,218,9067,3,68,,,8.06
" 15874 (1996 TL66)",84.71,0.5866,23.94,217.65,184.77,35.017,134.40,780,9599,1,512,,,5.44
" 15875 (1996 TP66)",39.65,0.3351,5.69,316.73,75.63,26.359,52.93,250,8858,2,155,,,7.36
" 15883 (1997 CR29)",46.88,0.2155,19.16,127.21,299.76,36.778,56.98,321,7711,4,34,,,7.13
" 16684 (1994 JQ1)",43.9,0.0477,3.75,25.76,256.05,41.804,45.99,291,9556,3,90,,,6.71
" 19255 (1994 VK8)",42.92,0.0307,1.48,72.33,109.49,41.606,44.24,281,7347,4,66,,,6.94
" 19299 (1996 SZ4)",39.9,0.2640,4.73,15.84,30.43,29.364,50.43,252,8536,2,73,,,8.47
" 19308 (1996 TO66)",43.6,0.1125,27.35,355.12,242.45,38.700,48.51,288,14292,2,287,,,4.84
" 19521 Chaos (1998 WH24)",45.94,0.1068,12.01,49.87,55.44,41.035,50.85,311,10679,2,162,,,4.63
" 20000 Varuna (2000 WR106)",42.94,0.0567,17.16,97.26,268.80,40.509,45.38,281,24898,1,839,,,3.79
" 20108 (1995 QZ9)",39.75,0.1487,19.52,187.88,145.56,33.844,45.67,251,9591,4,36,,,7.64
" 20161 (1996 TR66)",48.23,0.3982,12.41,342.93,310.62,29.025,67.43,335,7248,4,32,,,7.43
" 24835 (1995 SM55)",42.08,0.1094,26.99,20.91,69.18,37.477,46.68,273,14736,2,324,,,4.65
" 24952 (1997 QJ4)",39.74,0.2329,16.55,346.73,81.40,30.481,48.99,250,9223,2,105,,,7.55
" 24978 (1998 HJ151)",43.2,0.0460,2.40,50.52,123.97,41.217,45.19,284,3301,4,30,,,7.28
" 26181 (1996 GQ21)",92.05,0.5846,13.38,194.32,356.14,38.236,145.87,883,15798,1,425,,,4.86
" 26308 (1998 SM165)",48.12,0.3731,13.47,183.00,132.25,30.166,66.07,334,14645,2,365,,,5.78
" 26375 (1999 DE9)",55.01,0.4159,7.63,323.03,158.66,32.134,77.89,408,12168,2,503,,,4.92
" 28978 Ixion (2001 KX76)",39.53,0.2469,19.67,71.09,299.89,29.771,49.29,249,14565,1,197,,,3.47
